keyword,response
greeting_hello,"Hello! How are you doing today?"
greeting_hi,"Hi there! How can I support you today?"
greeting_morning,"Good morning! I hope today goes well for you."
greeting_evening,"Good evening! How has your day been?"
greeting_night,"Good night! Wishing you a calm and restful evening."
hello,"Hello! How are you doing today?"
hi,"Hi there Rafiki. How is your day going?"
hey,"Hey! Nice to hear from you."
i_am_good,"That's great! I am happy to hear you are doing well."
okay,"Alright Rafiki. I am here if you need me."
okay_bye,"Goodbye, Rafiki. Take care, and remember you are doing great."
bye,"Goodbye! Wishing you peace and comfort today."
good_night,"Good night Rafiki. Rest well and take care."
good_morning,"Good morning Rafiki. Wishing you and your child a positive day ahead."
i_am_so_stressed,"I am sorry you are feeling stressed. Would you like me to share a calming tip?"
i_am_sad,"I hear you Rafiki. It's okay to feel sad. You are not alone. Would you like to share what is bothering you?"
i_am_tired,"You must be exhausted. Please remember to rest whenever you can."
screaming,"Children with autism may scream when overwhelmed or overstimulated. Try calming strategies such as reducing noise, dimming lights, giving them a safe space, or using a comfort item."
meltdown,"During a meltdown, stay calm, avoid punishment, and ensure safety. Reduce demands, move to a quiet environment, and reassure your child."
diagnosis,"Only a qualified clinician can provide a diagnosis. In Kenya, you can seek assessments at: Kenya Institute of Special Education (KISE), Kaizora Centre, or other child development clinics."
therapy,"Therapies that may help include speech therapy, occupational therapy, and behavioral interventions. In Kenya, you can check KISE, Kaizora, or local hospitals."
communication,"You can support communication using visual aids, sign language, or simple speech. Consistency and patience are key."
routines,"Children often benefit from structured routines. Use visual schedules, consistent meal/bedtime patterns, and clear transitions."
school,"When preparing for school, talk to teachers about your child's needs, provide visual aids, and consider special education support if available."
resources,"You can find local support at Autism Society of Kenya, Differently Talented Society of Kenya, and Step by Step Autism Society."
sleep,"Sleep difficulties are common. Try consistent bedtime routines, limit screen time before bed, and use calming activities."
eating,"Many autistic children are picky eaters. Introduce new foods slowly, keep mealtimes calm, and respect sensory sensitivities."
toilet,"Toilet training can take time. Use visual schedules, rewards, and consistency. Be patient and avoid punishment for accidents."
aggression,"Aggression may signal frustration or unmet needs. Try to identify triggers, teach calming strategies, and ensure safety first."
anxiety,"Children with autism may have high anxiety. Consistent routines, quiet spaces, and relaxation activities can help."
siblings,"Siblings may need extra support. Explain autism in simple terms, encourage shared play, and give each child special time with you."
play,"Play helps social skills. Use structured games, role-play, and encourage turn-taking."
language,"If speech is delayed, encourage pictures, gestures, or AAC apps. Work closely with a speech therapist if possible."
tantrum,"Tantrums differ from meltdowns, but both need calm responses. Stay consistent, use simple language, and provide comfort when needed."
attention,"Many children struggle with attention. Short activities, visual prompts, and clear instructions may help."
social,"Support social skills with practicing greetings, turn-taking, and role-playing. Praise small successes."
parent_support,"Caring for a child with autism can be stressful. Seek support groups like Autism Society of Kenya, talk with other parents, and take breaks when possible."
sensory,"Some children are sensitive to light, sound, or touch. Provide sensory-friendly environments and use calming tools like headphones or weighted blankets."
nonverbal,"Nonverbal children may communicate through gestures, PECS cards, or apps. Celebrate all forms of communication."
stimming,"Stimming (like hand flapping or rocking) is usually self-soothing. It's best not to stop it unless it's harmful."
morning_routine,"Start mornings calmly with a predictable sequence (wake up, brush teeth, breakfast). Visual schedules and gentle reminders help reduce stress."
bedtime_routine,"Consistent bedtime routines improve sleep. Use calming cues like dim lights, a story, and quiet activities before bed."
home_safety,"Ensure your home is safe by locking dangerous items, covering sockets, and creating safe play zones. Supervision is key."
transitions,"Children may struggle with transitions. Use countdowns, timers, or songs to prepare them for changes. Visual cues are very helpful."
travel,"Travel can be overwhelming. Bring familiar items, prepare your child with pictures or social stories, and allow breaks during long trips."
church,"Religious gatherings can be overstimulating. Sit near exits, bring calming toys, and prepare your child ahead of time. Some churches in Kenya offer children's support groups."
visiting_relatives,"Prepare relatives to be understanding, keep visits short, and bring comfort items. Explain to family that autism is not misbehavior."
chores,"Assign small chores with clear steps and visual guides. Praise effort, not just completion."
screen_time,"Limit screen time, balance with physical play and face-to-face interaction. Choose educational and calming content."
shopping,"Markets and supermarkets can be noisy. Shop at quieter times, use headphones if needed, and involve your child with simple tasks like choosing an item."
eating_out,"Restaurants can be overwhelming. Call ahead, choose quiet seating, bring snacks, and leave if your child becomes too distressed."
haircut,"Haircuts can be stressful due to sensory issues. Prepare with social stories, bring favorite toys, and choose patient barbers."
dentist,"Dentist visits may cause anxiety. Practice at home with pretend play, book morning appointments, and request sensory accommodations if possible."
doctor,"Prepare your child for medical visits using visual schedules or role-play. Tell doctors about sensory sensitivities beforehand."
birthday,"Birthday parties may be overwhelming. Consider smaller gatherings, sensory-friendly activities, and prepare your child with photos or stories."
holidays,"Festive events can disrupt routines. Try to keep meal and sleep times consistent, and create quiet spaces when visiting relatives."
visitors_at_home,"Prepare your child before visitors arrive. Allow them a quiet retreat space if overstimulated."
outdoor_play,"Outdoor play supports sensory and social development. Parks and open fields allow safe movement."
transport,"Public transport may be stressful. Carry headphones, favorite items, and plan shorter trips at quieter times."
pets,"Pets can provide comfort. Start with calm animals, supervise interactions, and teach gentle handling."
school_bus,"Practice bus routines in advance. Provide headphones or fidget toys. Communicate with the driver about your child's needs."
uniforms,"School uniforms may cause sensory discomfort. Choose softer fabrics, remove itchy tags, and consider sensory-friendly underclothes."
homework,"Break homework into small steps, use timers, and give frequent breaks. Praise effort, not just results."
exams,"Exams may be stressful. Practice sample papers, request extra time if possible, and teach calming breathing techniques."
house_rules,"Use clear, simple rules with visual reminders. Reinforce them consistently."
biting,"Biting may be a way to express needs or sensory discomfort. Offer alternatives like chewable toys and teach simple communication."
hitting,"Hitting often signals frustration. Redirect gently, model calm responses, and avoid harsh punishment."
self_harm,"Behaviors like head banging or scratching may signal distress. Ensure safety, track triggers, and seek professional guidance."
crying,"Crying may be the child's way to communicate needs. Stay calm, check for hunger, tiredness, or sensory discomfort."
laughing_inappropriately,"This may be a form of self-regulation or communication. Redirect gently, but avoid shaming the child."
fear,"Children with autism may develop intense fears. Gradual exposure, reassurance, and visual supports help reduce anxiety."
social_withdrawal,"Some children withdraw when overwhelmed. Provide a safe retreat space and gently re-engage at their pace."
obsessions,"Strong interests can be used as motivators. Integrate them into learning and routines positively."
perseveration,"Repeating questions or topics may be calming. Gently redirect when necessary without showing frustration."
rigidity,"Insistence on sameness helps children feel safe. Gradually introduce flexibility with small changes."
separation_anxiety,"Goodbyes can be hard. Use short, consistent routines and reassure your child that you'll return."
attachment_to_objects,"Comfort objects provide security. Allow them in new environments where possible."
anger,"Help children express anger safely through drawing, deep breathing, or physical activity."
frustration,"Frustration often comes from communication difficulties. Provide alternative ways to express needs, such as gestures or picture cards."
sleep_problems,"Sleep disturbances are common. Keep a strict bedtime routine, avoid caffeine and screens, and consult a doctor if severe."
night_terrors,"Night terrors are episodes of intense fear during sleep. Stay nearby, ensure safety, and keep routines calming."
wandering,"Some children may wander from home. Use door locks, ID bracelets, and inform neighbors for safety."
fear_of_loud_sounds,"Noise sensitivity is common. Headphones, earplugs, or gradual exposure can help."
sensitivity_to_touch,"Some children dislike hugs or certain fabrics. Respect preferences and introduce textures slowly."
sensitivity_to_light,"Bright light can be overwhelming. Sunglasses, caps, and soft lighting at home can reduce discomfort."
sensitivity_to_smells,"Strong smells may cause distress. Use unscented soaps, cleaners, and avoid strong perfumes."
sensitivity_to_crowds,"Crowds may overwhelm. Plan outings during off-peak hours and create quiet escape options."
speech_therapy,"Speech therapy can improve communication, even for non-verbal children. Visual supports, sign language, and AAC devices may also be used."
occupational_therapy,"Occupational therapy helps with daily skills such as dressing, eating, and handwriting. It also addresses sensory processing issues."
physical_therapy,"Physical therapy helps improve motor skills, balance, and coordination. It can benefit children with movement challenges."
behavior_therapy,"Behavior therapy, such as ABA, helps reduce problem behaviors and build life skills."
aba,"Applied Behavior Analysis (ABA) uses positive reinforcement to encourage skills. It should be tailored to the child's needs."
play_therapy,"Play therapy encourages social interaction and communication through play-based activities."
music_therapy,"Music therapy can enhance communication, reduce anxiety, and improve emotional expression."
art_therapy,"Art therapy provides a creative outlet for self-expression and emotional regulation."
sensory_integration,"Sensory integration therapy helps children process sensory input more effectively. It often involves play with textures, swings, or deep pressure activities."
social_skills_training,"Social skills training teaches turn-taking, eye contact, and conversation through practice and role play."
visual_supports,"Visual aids such as schedules, charts, and flashcards help children understand routines and expectations."
aac,"Augmentative and Alternative Communication (AAC) devices, like picture boards or apps, support non-verbal communication."
sign_language,"Sign language can provide an accessible way to communicate if speech is delayed or limited."
reading_difficulties,"Some children struggle with reading comprehension. Use visual supports, audiobooks, and structured literacy approaches."
writing_difficulties,"Fine motor challenges may affect writing. Occupational therapy and adapted tools (pencil grips, keyboards) can help."
math_difficulties,"Concrete visual aids, number lines, and manipulatives support learning math concepts."
anxiety_support,"Calm environment, predictable routines, relaxation exercises, and social stories help reduce anxiety."
depression_support,"Observe mood, encourage expression, seek professional guidance if persistent sadness occurs."
anger_management,"Teach coping strategies like deep breathing, counting, or taking a break when frustrated."
stress_management,"Mindfulness, exercise, and structured routines help manage stress."
self_regulation,"Use visual schedules, timers, sensory tools, and modeling to help the child regulate emotions and behavior."
positive_reinforcement,"Praise attempts, reward desired behaviors, and focus on effort rather than outcomes."
medical_checkup,"Regular pediatric checkups ensure health needs are met and monitor development."
nutrition_support,"Offer a variety of foods, respect preferences, and consult a dietitian if needed."
hydration,"Ensure adequate water intake throughout the day."
exercise,"Daily physical activity supports motor development and reduces anxiety."
sun_safety,"Use sunscreen, hats, and avoid peak sun hours to protect skin."
emergency_preparedness,"Have emergency plans, teach basic safety, and keep contacts handy for caregivers."
first_aid,"Basic first aid knowledge is essential. Keep a first aid kit accessible and know how to use it."
mental_health,"Monitor your child's mental health and seek professional help if you notice significant changes in behavior or mood."
crisis_support,"In a crisis, stay calm, ensure safety, and seek immediate professional help if needed."
hotline,"In Kenya, you can contact the Childline Kenya at 116 for immediate support and assistance."
autism_awareness,"Raising awareness helps reduce stigma. Share accurate information about autism with your community."
advocacy,"Advocate for your child's rights in education, healthcare, and community settings."
self_care,"Taking care of yourself is crucial. Seek support, take breaks, and prioritize your well-being."
support_groups,"Join local support groups like Autism Society of Kenya to connect with other parents and share experiences."
therapy_options,"Explore various therapies such as speech, occupational, and behavioral therapies to find what works best for your child."
local_services,"In Kenya, services are available at KISE, Kaizora Centre, and various hospitals. Reach out to local autism organizations for guidance."
emotional_support,"Provide a listening ear, validate feelings, and offer comfort during challenging times."
keyword,response
dressing_difficulties,"Choose simple clothing, use Velcro instead of buttons, and teach dressing in small steps."
brushing_teeth,"Turn toothbrushing into a predictable routine, try flavored toothpaste, and let your child hold the brush too."
bathing,"Make bath time fun with toys or songs, use warm water, and avoid strong-smelling soaps."
meal_transitions,"Give a warning before meals, use a visual schedule, and keep mealtimes consistent."
morning_struggles,"Break the morning into small steps, use visuals, and celebrate each step completed."
bedtime_routine,"Keep bedtime consistent with calm activities, dim lights, and favorite bedtime objects."
hand_flapping,"Hand flapping is a common stim. Allow it unless it causes harm or interferes with safety."
pacing,"Pacing can be self-soothing. Provide a safe space for movement and respect the need."
shouting,"Shouting may signal frustration. Stay calm, reduce demands, and use simple choices."
echolalia,"Repeating words (echolalia) helps with language processing. Model correct phrases gently."
task_refusal,"Offer limited choices, turn the task into play, and give short breaks."
tantrum_management,"Stay calm, ensure safety, reduce noise, and give space until your child is ready to re-engage."
classroom_support,"Request visual schedules, quiet breaks, and structured seating from teachers."
exam_accommodations,"Ask schools for extra time, quiet rooms, or alternative assessments where possible."
bullying,"Work with teachers to stop bullying. Teach your child to seek help from trusted adults."
homework_struggles,"Break homework into smaller steps, use timers, and reward effort."
teacher_meeting,"Share your child’s strengths and needs openly with teachers for better support."
school_anxiety,"Visit the school beforehand, use social stories, and build a predictable routine."
playdates,"Plan short, structured playdates with supportive friends. Prepare your child ahead of time."
birthday_invitations,"Show photos of the event, explain what will happen, and allow sensory breaks if needed."
family_events,"Bring sensory-friendly items, explain your child’s needs to relatives, and allow quiet spaces."
neighbors,"Introduce your child gradually to neighbors and explain basic needs to build understanding."
public_spaces,"Bring headphones or comfort toys, keep visits short, and prepare with visuals."
doctor_visits,"Use social stories, bring familiar objects, and explain sensory needs to staff beforehand."
medicine,"Give simple explanations, use visuals, and if safe, mix medicine with a favorite drink."
vaccinations,"Prepare with a story, bring comfort items, and ask for a quiet space if possible."
hospital_visits,"Bring familiar items, request calm environments, and explain each step simply."
emergencies,"Practice safety drills with visuals and teach simple safety rules step by step."
water_safety,"Always supervise around water, teach basic swimming, and use visual safety cues."
fire_drills,"Practice calmly with visuals, start small, and reassure your child after drills."
traffic_safety,"Teach crossing the road using clear visuals, hand-holding, and practice in safe places."
local_support,"The Autism Society of Kenya provides family support and events across regions."
kiswahili_support,"Using Kiswahili words with visuals can help communication feel familiar and easier."
church_support,"Some churches in Nairobi and Kisumu offer inclusive programs for children with autism."
mosque_support,"You can speak to your local imam about quiet prayer spaces for your child if needed."
rural_challenges,"In rural areas, seek help from community health workers and local clinics."
school_inclusion,"Kenya’s Competency-Based Curriculum allows accommodations. Advocate for your child’s needs."
caregiver_fatigue,"Caring is hard work. Take short breaks and ask trusted friends or family for help."
stress_relief,"Practice deep breathing, take short walks, or join a caregiver support group."
burnout,"Recognize burnout early. Reach out to friends, professionals, or community groups for support."
self_reflection,"Celebrate small wins. Remind yourself that progress may be slow but meaningful."
family_balance,"Spend time with siblings and spouse to maintain healthy family balance."
sibling_support,"Explain autism to siblings in simple words and encourage them to share feelings."
community_awareness,"Talk to community leaders and schools to raise understanding and reduce stigma."
financial_support,"In Kenya, inquire about NHIF coverage or local NGOs offering therapy assistance."
parent_training,"Join workshops or online sessions on autism parenting strategies when possible."
early_intervention,"Therapies started early improve long-term outcomes. Seek help as soon as possible."
speech_delay,"Encourage communication with gestures, pictures, or simple devices if speech is delayed."
communication_tools,"PECS cards, AAC apps, and gestures help children who are non-verbal express themselves."
social_skills,"Use role-play and visual stories to teach greetings, sharing, and turn-taking."
independence_skills,"Start small tasks like setting the table or choosing clothes to build independence."
puberty,"Prepare with simple, honest explanations about body changes and privacy rules."
hygiene_training,"Teach handwashing, toothbrushing, and bathing using visual step-by-step guides."
toilet_training,"Create a consistent toilet routine, use visuals, and celebrate small progress."
job_skills,"Older children can practice simple tasks like organizing, sorting, and handling money."
technology_use,"Teach safe screen time rules, explain online safety, and supervise gently."
phone_use,"Introduce basic phone skills like answering calls and using emergency numbers."
internet_safety,"Use parental controls and teach children about safe online behavior."
sleep_problems,"Establish bedtime routines, dim lights, and avoid screens before bed."
food_selectivity,"Introduce new foods slowly, keep familiar ones, and don’t force sudden changes."
sensory_food,"Allow your child to explore food textures gradually and use visuals to explain meals."
school_transport,"Prepare your child for buses with visuals and sit near supportive staff if possible."
after_school,"Plan calm activities after school to reduce overwhelm from the day."
exam_stress,"Use practice tests, calming routines, and reward effort rather than only results."
group_work,"Pair your child with understanding peers and give clear roles in group tasks."
art_therapy,"Drawing, painting, or music can help children express emotions safely."
music_support,"Music helps with calming, language, and social bonding. Use favorite songs in routines."
storytelling,"Simple storybooks and social stories build language and understanding of situations."
kenya_resources,"Check Autism Society of Kenya and local NGOs for therapy and community events."
therapy_costs,"If private therapy is costly, seek community programs or caregiver-led strategies."
sensory_breaks,"Schedule sensory breaks in school and home routines to prevent meltdowns."
meltdown_triggers,"Identify common triggers like noise or transitions and prepare strategies."
visual_supports,"Use charts, picture schedules, and flashcards to support understanding."
rewards,"Positive reinforcement with praise or small rewards encourages learning."
discipline,"Avoid harsh punishment. Use calm redirection and explain rules simply."
alternative_therapy,"Yoga, play therapy, and occupational therapy can support wellbeing."
sports,"Structured sports like swimming can help with motor skills and confidence."
siblings_play,"Encourage siblings to play simple, structured games together."
transport,"Prepare for travel with familiar objects, snacks, and visuals of the journey."
airport,"Explain airport steps with visuals, request assistance, and carry calming tools."
market_visits,"Keep visits short, avoid peak hours, and bring headphones or toys."
kenyan_food,"Offer traditional foods in small portions and respect sensory preferences."
community_meetings,"Ask for patience from community members and bring support tools."
technology_learning,"Use simple educational apps to support communication and learning."
parent_networks,"Join WhatsApp or Facebook support groups for Kenyan autism parents."
legal_rights,"Children with disabilities in Kenya have a right to inclusive education by law."
school_advocacy,"Request Individual Education Plans (IEPs) where available in Kenyan schools."
support_groups,"Local parent groups can provide encouragement, advice, and shared resources."
ngo_support,"NGOs like Action Network for the Disabled sometimes support autism programs."
therapy_availability,"In Nairobi and Mombasa, more therapy centers are available than rural areas."
diet_supplements,"Always consult a doctor before starting supplements for autism."
allergies,"Track foods that cause reactions and consult a nutritionist if needed."
vaccination_myths,"Vaccines do not cause autism. They are important for your child’s health."
future_planning,"Plan for your child’s long-term needs, including schooling and independent living."
savings,"Set aside small amounts regularly to prepare for therapy and future support."
career_paths,"Some autistic individuals excel in art, coding, or technical tasks with the right support."
key,response
bedtime_routine,"Children benefit from a consistent bedtime. Use calming activities like reading or soft music before bed, and keep the bedtime the same each night."
morning_routine,"Children often benefit from structured routines. Use visual schedules, consistent meal/bedtime patterns, and clear transitions."
school_transition,"When preparing for school, talk to teachers about your child's needs, provide visual aids, and consider special education support if available."
new_activities,"Introduce new activities gradually. Use short sessions, offer choices, and celebrate small successes."
brushing_teeth,"Break the task into steps with pictures or demonstrations. Use a favorite song to time brushing and praise effort consistently."
mealtime_refusal,"Offer small portions, keep mealtimes calm, and allow choice between two healthy options. Avoid force-feeding and praise progress."
chores,"Assign small chores with clear steps and visual guides. Praise effort, not just completion."
speech_encouragement,"Encourage words during play, repeat back what your child says, and use picture cards to support vocabulary growth."
communication_strategies,"You can support communication using visual aids, sign language, or simple speech. Consistency and patience are key."
asking_for_help,"Model the phrase 'help me' with gestures or pictures. Prompt your child gently and praise them when they try."
picture_communication,"Use picture exchange systems or flashcards. Start with simple needs like food or toys, and reinforce with praise."
aac_tools,"You can support communication using visual aids, sign language, or simple speech. Consistency and patience are key."
turn_taking,"Practice with games like rolling a ball or taking turns with toys. Use clear cues like 'my turn' and 'your turn'."
frustration_support,"Frustration often comes from communication difficulties. Provide alternative ways to express needs, such as gestures or picture cards."
meltdown_support,"During a meltdown, stay calm, avoid punishment, and ensure safety. Reduce demands, move to a quiet environment, and reassure your child."
public_overwhelm,"Use calming tools like headphones, sunglasses, or a comfort object. Take breaks in quiet spaces when needed."
echolalia,"Repeating words can be part of language learning. Gently model the correct phrase and use it in natural contexts."
aggression,"Look for triggers like hunger, fatigue, or sensory overload. Teach calming strategies and reinforce positive behavior."
self_soothing,"Offer calming tools like weighted blankets, deep breathing exercises, or quiet spaces where your child feels safe."
sensory_overload,"Some children are sensitive to light, sound, or touch. Provide sensory-friendly environments and use calming tools like headphones or weighted blankets."
caregiver_stress,"Take breaks when possible, connect with other caregivers, and practice simple self-care routines like short walks or deep breathing."
support_groups,"You can look for autism caregiver networks through local hospitals, NGOs, or online Kenyan support forums."
overwhelmed_parent,"Reach out for support, write down your stress triggers, and take small breaks when possible. You’re not alone."
therapy_options,"Therapies that may help include speech therapy, occupational therapy, and behavioral interventions. In Kenya, you can check KISE, Kaizora, or local hospitals. (⚠️ Please consult a medical professional for advice.)"
work_life_balance,"Try creating a shared calendar, ask family for support, and explore respite services where available."
connect_parents,"Local autism groups, schools, and hospitals may connect you with other parents. Online communities can also provide support."
autism_definition,"Autism is a developmental condition that affects communication, behavior, and social interaction. It varies widely in each person."
autism_causes,"The exact causes of autism are not fully understood. Genetics and brain development play roles, but no single cause exists."
autism_cure,"There is no cure for autism, but therapies and supports can help children thrive."
autism_diagnosis,"Only trained professionals such as pediatricians, psychologists, or developmental specialists can diagnose autism. (⚠️ Please consult a medical professional for advice.)"
autism_kenya,"Accurate statistics are limited in Kenya, but autism is increasingly recognized. Awareness and diagnosis are improving through advocacy groups."
autism_signs,"Signs may include delayed speech, difficulty with eye contact, repetitive behaviors, or challenges in social interaction."
support_school,"Talk to teachers about your child's needs, provide visual aids, and consider special education support if available."
making_friends,"Children with autism can make friends with support. Social skills training and inclusive activities can help."
therapy_nairobi,"Therapies that may help include speech therapy, occupational therapy, and behavioral interventions. In Kenya, you can check KISE, Kaizora, or local hospitals. (⚠️ Please consult a medical professional for advice.)"
aba_therapy,"Applied Behavior Analysis (ABA) is a therapy that uses positive reinforcement to teach skills and reduce challenging behaviors."
diagnosis_bot,"I cannot diagnose autism. Please consult a pediatrician or specialist for a professional evaluation. (⚠️ Medical disclaimer.)"
autism_medication,"Medication is not a cure for autism, but doctors may prescribe it to help with specific symptoms like anxiety or hyperactivity. (⚠️ Please consult a medical professional for advice.)"
melatonin,"Some families use melatonin to support sleep, but only under medical supervision. (⚠️ Please consult a doctor before use.)"
autism_treatment,"There is no single treatment for autism. Supportive therapies like speech, occupational, and behavioral interventions are recommended. (⚠️ Please consult a medical professional for advice.)"
autism_best_therapy,"Therapies that may help include speech therapy, occupational therapy, and behavioral interventions. The best option depends on your child's needs. (⚠️ Please consult a medical professional for advice.)"
